P,R,F1
0.9292791765841046,0.9394806689342402,0.9343520779704427
0.9329838129767981,0.9437087301587302,0.9383156262047344
0.9352276810084733,0.9434257369614514,0.9393088216724954
0.935914897941829,0.9442321428571429,0.940055123816272
0.9340612487542332,0.9443210317460317,0.9391631206217183
0.9345966708215954,0.9439565192743765,0.939253277432195
0.9366868597009024,0.9450746598639456,0.9408620658111518
0.9364837668145458,0.9449513605442176,0.94069850903792
0.9364803047441976,0.946073015873016,0.9412522200694399
0.9363398765195444,0.9461319727891156,0.9412104567703381
0.9359136789845843,0.9458785714285715,0.9408697410291006
0.937145412595458,0.9455146258503401,0.9413114168918687
0.9370113312016457,0.9456518140589568,0.9413117448814563
0.9366469962714116,0.9448251133786848,0.9407182810831263
0.9380464876254343,0.9458612811791383,0.9419376758067015
0.9367038009082903,0.9450339002267574,0.9408504126750872
0.9371636478556384,0.9459606575963717,0.9415416051232381
0.9378030918507393,0.9482307256235829,0.9429880822269752
0.9353026938260095,0.9443527210884354,0.9398059207529146
0.9366203599769782,0.9472450113378684,0.9419027251256732
0.9361094480942503,0.9457888321995466,0.9409242476015258
0.9392438552113926,0.9460272108843538,0.942623329520483
0.9350060929735254,0.9450622448979594,0.9400072746496438
0.9382500245233357,0.9464718820861681,0.942343019905255
0.9366997856256626,0.9457440476190475,0.9412001898984125
0.9388821053971748,0.945897505668934,0.942376749406841
